x,y,latitude,longitude,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,dipAz_dc,strike,declination,unitId,timedate,notes
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,24,177,183.6590805,87,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,27,164,170.6590805,74,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,26,168,174.6590805,78,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,23,158,164.6590805,68,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,23,175,181.6590805,85,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,28,170,176.6590805,80,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,28,161,167.6590805,71,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,25,165,171.6590805,75,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,25,166,172.6590805,76,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,35,162,168.6590805,72,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,22,165,171.6590805,75,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,31,165,171.6590805,75,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,30,172,178.6590805,82,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,26,190,196.6590805,100,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,36,179,185.6590805,89,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,24,181,187.6590805,91,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,28,170,176.6590805,80,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
578326.4227,5285586.928,47.71890775,-85.95563977,3,5,-1,Flow Banding,21,172,178.6590805,82,-6.65908051,CM2, Sat Jul 18 12:05:45 2015,compass
