Site ,Unit,Strike,Dip,dec_mag,inc_mag,a95_mag,k_mag,dec_hem,inc_hem,a95_hem,k_hem
25,NSu,48,18,281.4,15.5,8.8,59.1,280.8,15.1,7.5,66.5
24,NSu,29,16,304.2,34.7,4.1,88.6,303.9,34.4,3.9,88.2
23,NSu,51,21,284.5,2.4,9,72.6,284.4,2.5,7.6,79.1
22,NSu,24,15,284.7,-1.7,9.9,156,284.6,-1.4,7.1,167.3
21,NSp,34,19,276.1,3.4,7.4,107,,,,
20,NSp,29,18,281.3,-1.4,4.4,233.4,,,,
19,NSp,81,10,284.7,-5.5,6.9,77.1,,,,
18,NSp,49,18,279.8,8.5,5.3,94.6,,,,
17,NSp,36,18,279.9,15.4,3,204.7,,,,
16,NSm,49,18,277.7,-16.6,3.8,398,275.5,-15.9,3.3,329.8
15,NSm,32,21,272,-8.5,3.3,196.3,271.3,-8.8,3,205.5
14,NSm,25,21,282.3,-11,3,229.4,280.2,-10.7,4.8,74.9
13,NSm,25,21,291,4.4,4,147.2,286.6,6,7.9,43.8
12,NSm,67,18,280.9,-13.3,5,105.4,277.8,-12.6,5.2,87.6
11,NSm,49,18,287.5,-4.8,4.5,150.5,283.2,-4.2,6.7,52.8
10,NSm,49,18,281.8,4.5,4.2,152.6,280,4,3.5,167.2
9,NSm,54,19,283.9,-2.3,9,73,280.6,0.2,6.3,53.4
8,CHm,54,19,290.6,1.3,11.3,120.8,283.7,-0.3,8.2,227.8
7,CHm,49,18,279.2,1.7,5.6,86.1,279.1,3.4,4.4,96.2
6,CHr,283,18,279.7,9.2,3.8,131.4,278.4,9.6,4.1,102.6
5,CHr,283,17,267.5,11.6,6.7,94.1,265.3,12.4,3.8,103.8
4,CHr,272,16,269.4,5.2,6.4,52.1,268,5.1,5.9,54.9
3,CHr,295,17,291.2,36.9,2.3,379,290.9,37.4,2,462.7
2,CHr,293,17,275.5,7.6,4.9,88.5,274.6,6.1,5.1,74
1,CHr,293,17,280.7,0.7,2.8,186.8,280.2,1.4,3.2,134.8
