Formation,Plate_ID,Terrane,AgeUpper,AgeLower,AgeNominal,Q,N(n),Dec,Inc,a95,A95,Block,k,CPlat,CPlon,SLat,SLon,PLat,PLon,RefLat,RefLon,Reference,Comment
Skinner Cove,1000,Laurentia,554,548,551,,,,,,9,,,,,,,15,157,46.78,267.9,McCausland and Hodych (1998) ,
Sept-Iles Layered Intrusion,1000,Laurentia,569,561,565,,,,,,6.7,,,,,50.2,293.5,20,141,46.78,267.9,"Tanczyk,E.I., Lapointe,P., Morris,W.A., Schmidt,P.W.",
Catoctin Basalts,1000,Laurentia,577,567,572,,,,,,17.5,,,,,38.5,281.8,-42,116.7,46.78,267.9,"Meert,J.G., Van der Voo,R., Payne,T.W.",
Catoctin A,1000,Laurentia,577,567,572,,,,,,18,,,,,,,-43,118,46.78,267.9,Meert et al. (1994),
Callander Alkaline Complex,1000,Laurentia,580,570,575,,,,,,6,,,,,46.2,280.6,-46.3,121.4,46.78,267.9,"Symons,D.T.A., Chiasson,A.D.",
Callander syenite,1000,Laurentia,578,576,577,,,,,,8,,,,,,,-51,103,46.78,267.9,Symons and Chiasson (1991)  ,
Baie des Moutons complex,1000,Laurentia,585,581,583,,,,,,12,,,,,50.8,301,-42.6,152.7,46.78,267.9,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",
Baie des Moutons complex,1000,Laurentia,585,581,583,,,,,,15.4,,,,,50.8,301,34.2,141.5,46.78,267.9,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",
Mutton Bay A,1000,Laurentia,585,581,583,,,,,,12,,,,,,,-43,153,46.78,267.9,McCausland et al. (2011),
Grenville dykes B,1000,Laurentia,592,588,590,,,,,,14,,,,,,,-62,70,46.78,267.9,Murthy (1971),
Long Range Dykes,1000,Laurentia,617,613,615,,,,,,17.4,,,,,53.7,303.3,-19,175.3,46.78,267.9,"Murthy,G.S., Gower,C., Tubett,M., Patzold,R.",
Long Range dykes (Labr)  ,1000,Laurentia,617,613,615,,,,,,17,,,,,,,-19,175,46.78,267.9,Hodych et al. (2004)   ,
Long Range dykes (Newf),1000,Laurentia,617,613,615,,,,,,10,,,,,,,-6,165,46.78,267.9,McCausland et al. (2009),
Franklin-Natkusiak,1000,Laurentia,720,720,720,,,,,,3,,,,,,,8,164,46.78,267.9,Denyszyn et al. (2009),
Franklin event grand mean,1000,Laurentia,727,721,724,,,,,,3,,,,,70,270,6.7,162.1,46.78,267.9,"Denyszyn,S.W., Halls,H.C., Davis,D.W., Evans,D.A.D.",
Kwagunt Fm,1000,Laurentia,748,736,742,,,,,,7,,,,,,,18,166,46.78,267.9,Weil et al. (2004),
Uinta Mountain Group,1000,Laurentia,800,750,775,,,,,,4.7,,,,,40.8,250.7,0.8,161.3,46.78,267.9,"Weil, A.B., Geissman, J.W., Ashby, J.M.",
Tsezotene Sills Combined,1000,Laurentia,780,776,778,,,,,,5,,,,,63.5,235,1.6,137.8,46.78,267.9,"Park,J.K., Norris,D.K., Larochelle,A.",
"MEAN Wyoming ""Gunbarrel"" dykes",1000,Laurentia,780,776,778,,,,,,8.2,,,,,44.8,248.7,13.9,129.4,46.78,267.9,LULEÅ WORKING GROUP MEAN,
Tsezotene sills,1000,Laurentia,781,777,779,,,,,,7,,,,,,,2,138,46.78,267.9,Park et al. (1989) ,
Wyoming dykes,1000,Laurentia,781,779,780,,,,,,4,,,,,,,13,131,46.78,267.9,Harlan et al. (1997),
Nankoweap Formation - Grand Canyon Supergroup,1000,Laurentia,800,770,785,,,,,,7,,,,,,,-10,163,46.78,267.9,Weil et al. (2003),
Adirondack Highlands Gneiss,1000,Laurentia,980,940,960,,,,,,7.6,,,,,,,-18.4,151.1,46.78,267.9,Brown and McEnroe (2012),
Adirondack Highlands Anorthosite,1000,Laurentia,990,950,970,,,,,,7.7,,,,,,,-25.1,149,46.78,267.9,Brown and McEnroe (2012),
Adirondack Highlands Granite,1000,Laurentia,1010,970,990,,,,,,3.9,,,,,,,-28.4,132.7,46.78,267.9,Brown and McEnroe (2012),
Haliburton Intrusions,1000,Laurentia,1030,1000,1015,,,,,,6.3,,,,,45,281.4,-32.6,141.9,46.78,267.9,"Warnock,A.C., Kodama,K.P., Zeitler,P.K.",
Nonesuch Shale,1000,Laurentia,1080,1064,1080,,,,,,5.5,,,,,47,271.5,7.6,178.1,46.78,267.9,"Henry,S.G., Mauk,F.J., Van der Voo,R.",
Freda Sandstone,1000,Laurentia,1080,1060,1070,,,,,,4.2,,,,,47,271.5,2.2,179,46.78,267.9,"Henry,S.G., Mauk,F.J., Van der Voo,R.",
Michipicoten Island Formation,1000,Laurentia,1083,1083,1083,,,,,,4.3,,,,,,,15.8,174.7,46.78,267.9,Fairchild et al. (2016),
Lake Shore Traps,1000,Laurentia,1089,1085,1087,,,,,,4,,,,,47.6,271.9,23.1,186.4,46.78,267.9,"Kulakov, E.V., Smirnov, A.V., Diehl, J.F.",
Central Arizona diabases -N,1000,Laurentia,1099,1077,1088,,,,,,7,,,,,33.7,249.2,15.7,175.3,46.78,267.9,"Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.",
Cardenas Basalts and Intrusions,1000,Laurentia,1096,1086,1091,,,,,,8,,,,,36.1,248.1,32,185,46.78,267.9,"Weil,A.B., Geissman,J.W., Heizler,M., Van der Voo,R.",
Chengwatana Volcanics,1000,Laurentia,1097,1093,1095,,,,,,8.2,,,,,45.4,267.3,30.9,186.1,46.78,267.9,"Kean,W.F., Williams.,I., Chan,L., Feeney,J.",
Portage Lake Volcanics,1000,Laurentia,1098,1092,1095,,,,,,4.7,,,,,47,271.2,26.7,178,46.78,267.9,Hnat et al.,
North Shore lavas -N,1000,Laurentia,1100,1094,1097,,,,,,2.8,,,,,46.3,268.7,34.5,181.3,46.78,267.9,"Tauxe, L., Kodama, K.P.",
